uri_doremus,uri_wikidata,name_score,born_score,death_score,total_score
http://data.doremus.org/artist/094023c7-13be-3544-af43-a061650862f0,http://www.wikidata.org/entity/Q357326,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0967bc95-6977-3863-aca4-fc197b65d06c,http://www.wikidata.org/entity/Q151593,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/098c990d-5573-39f2-9cd4-23d382de6548,http://www.wikidata.org/entity/Q1339344,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0993458b-27a1-3e90-8512-d26c054343ec,http://www.wikidata.org/entity/Q312891,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/09949eb0-cfda-35d1-8dec-d5aef91c34b7,http://www.wikidata.org/entity/Q952378,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/09a20ad5-db20-3144-9ce0-32acad2da1a5,http://www.wikidata.org/entity/Q543613,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0a87adf2-1e71-3a4d-b62f-0d276c48ef54,http://www.wikidata.org/entity/Q730252,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0aa0102d-2863-3517-98e9-5f37015c6573,http://www.wikidata.org/entity/Q1148829,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0ab6f234-b219-3564-85e6-6a36d8635b3f,http://www.wikidata.org/entity/Q68038,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0b6085f9-4a29-36c9-8078-8fa18b50cc5c,http://www.wikidata.org/entity/Q9001525,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0b8dd00c-8aac-38ec-abbb-a09d5bca2ccb,http://www.wikidata.org/entity/Q2600898,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0b978496-e9e2-3a3c-b4c6-b267f64bb2c6,http://www.wikidata.org/entity/Q294568,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0bab8dc5-b3b8-368b-aca2-438431386df1,http://www.wikidata.org/entity/Q121828,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0beafa98-acfb-3f24-a915-4bd5b79e376b,http://www.wikidata.org/entity/Q338667,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0bf444bd-077c-3e36-a927-b7a600b577c0,http://www.wikidata.org/entity/Q323568,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0c0348f7-bca2-3655-b2c5-55452568549c,http://www.wikidata.org/entity/Q143198,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0c6af080-58a6-3777-ba6e-becbb00069b9,http://www.wikidata.org/entity/Q181894,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0c965ec4-f91c-34fc-8bf1-d59ed26bdee9,http://www.wikidata.org/entity/Q250952,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0d3493ff-b0f9-35c3-bc75-1adfc0150cd2,http://www.wikidata.org/entity/Q313270,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0d734d80-0f5b-3a02-ac84-4c5b50f40b09,http://www.wikidata.org/entity/Q1118972,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0d74b492-a80e-3f0f-899b-ec054afe4039,http://www.wikidata.org/entity/Q6286224,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0d755459-b8b8-3655-affc-1391fbebed90,http://www.wikidata.org/entity/Q649959,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0d8fed3f-d0f5-3861-81a2-e3bf0eff40e3,http://www.wikidata.org/entity/Q2062391,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0ddc737a-8413-3b60-a077-1499d75538c9,http://www.wikidata.org/entity/Q605191,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0dff6fcd-1bf4-33d8-8afc-0a879af2e6d4,http://www.wikidata.org/entity/Q3094189,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0e33b263-d5ac-3b23-9da4-983e254b527b,http://www.wikidata.org/entity/Q959863,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0e42bec8-c444-3e00-8a29-cf3af1d732cb,http://www.wikidata.org/entity/Q3082382,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0e65f589-8b2a-33e1-8942-f2b3d217eddb,http://www.wikidata.org/entity/Q1350705,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0e67ee71-cfc9-399b-898d-cc6f4807636e,http://www.wikidata.org/entity/Q1893041,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0e6b48a0-82a7-3afd-b0e4-a1ab92f939ad,http://www.wikidata.org/entity/Q547301,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0f10a6e6-90f0-3ec7-88de-9feb064cfbc4,http://www.wikidata.org/entity/Q116397,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0f653f42-5e46-34a1-9481-35c4efd460e8,http://www.wikidata.org/entity/Q463224,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0f76af41-60a4-3f61-9ad3-e1b279f31fc5,http://www.wikidata.org/entity/Q706203,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0f800fab-e3dc-3c93-a246-673418368b05,http://www.wikidata.org/entity/Q1906023,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0f86e87b-5784-3512-a778-83d372412eb5,http://www.wikidata.org/entity/Q299669,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0faaf8ff-f56d-3531-a3ba-fd97065a2771,http://www.wikidata.org/entity/Q1749290,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0fb1dba2-06ba-3c08-b624-d6fb8652e4d6,http://www.wikidata.org/entity/Q2316737,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0fc92ff2-f179-396c-bc96-9be6647d3b4c,http://www.wikidata.org/entity/Q3931581,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0fcd95bb-79f8-3c8a-870c-510d428dda1d,http://www.wikidata.org/entity/Q5159669,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0fcfbd78-4865-3594-b869-6525f54d855f,http://www.wikidata.org/entity/Q83309,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0fe0723a-01ef-3dee-b78c-fb8a6025c42e,http://www.wikidata.org/entity/Q7833,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0ff45f40-2c6a-322e-a441-3b4d0ed465ce,http://www.wikidata.org/entity/Q586052,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/105a337e-faff-3a2a-966a-aaab6be16471,http://www.wikidata.org/entity/Q434821,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1087f32e-533d-3e66-86d9-c01c8f7daa5c,http://www.wikidata.org/entity/Q348282,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/109f9796-bcbe-38c5-b6d8-25062a6139bc,http://www.wikidata.org/entity/Q1825044,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/10eefadb-b40c-353f-a340-422cf725f250,http://www.wikidata.org/entity/Q1582156,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/10f2b41b-76b5-323c-b788-e15a51be77f8,http://www.wikidata.org/entity/Q1631780,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1154e2ae-909f-3da9-8491-38297973b1ef,http://www.wikidata.org/entity/Q1350215,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/121eab8a-1787-3139-a837-3ccaeb390178,http://www.wikidata.org/entity/Q230978,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/122e2721-b72d-3846-be1c-16d06082bb45,http://www.wikidata.org/entity/Q103767,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/124efc66-fdd1-3c31-b146-3eff851f58e8,http://www.wikidata.org/entity/Q319708,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/12e299a4-6c60-3299-bec0-e61fb4afac55,http://www.wikidata.org/entity/Q711052,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/12fa21ff-cfa4-31d6-87d9-a22315193b04,http://www.wikidata.org/entity/Q7349,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/131fcb8f-ac3a-3cb1-a961-3da27ef9b42b,http://www.wikidata.org/entity/Q1264054,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/13304b97-dd98-3e18-9ff3-c2563ac46481,http://www.wikidata.org/entity/Q470568,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1349acab-2721-379f-8bd3-c08b3df1787b,http://www.wikidata.org/entity/Q2161677,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/13574b50-511a-33e2-8d07-871af8fa21e1,http://www.wikidata.org/entity/Q435688,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/135e53ff-3d4b-3359-a43c-856aab1c10af,http://www.wikidata.org/entity/Q724497,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/13608860-0375-37cb-9b7d-aa5c26810638,http://www.wikidata.org/entity/Q1600793,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/138f7d58-3ad0-3f94-9893-2ce801a2a15f,http://www.wikidata.org/entity/Q153611,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/13928e72-79b6-30e3-a5a7-2e9235af10e7,http://www.wikidata.org/entity/Q330024,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/13f3af05-6fb8-35e7-a8ab-aa1dd4576ce7,http://www.wikidata.org/entity/Q1292110,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1417fcdb-4617-3fe5-bb21-23f22cfd3bb8,http://www.wikidata.org/entity/Q533022,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/141b63e3-dc27-306e-8ec6-160a72fd7d98,http://www.wikidata.org/entity/Q78517,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/14970460-189f-3593-a550-7bceb778072e,http://www.wikidata.org/entity/Q50186,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/14a3fc2e-2b1b-3cc2-abe4-8e7d4aa408a6,http://www.wikidata.org/entity/Q200131,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/14dc1e4d-2174-3772-a907-258adc1187c0,http://www.wikidata.org/entity/Q943183,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/15540ea5-c67c-38bb-afe3-101e1934f82a,http://www.wikidata.org/entity/Q215161,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/157157ef-1cb3-3fc7-a4f7-2531989fc942,http://www.wikidata.org/entity/Q13894,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/15871fdd-5523-3f09-beb2-82cdd26c2766,http://www.wikidata.org/entity/Q7304,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/162f51dd-62ee-37c5-9522-669a5772de7a,http://www.wikidata.org/entity/Q213751,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/166085f2-9557-3233-bdd3-f919e932e9c1,http://www.wikidata.org/entity/Q982192,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/16bad1d4-b939-3638-a8b1-72c1ec17eba3,http://www.wikidata.org/entity/Q1261038,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/16c2e858-d298-3584-9c5f-49e02cebdc44,http://www.wikidata.org/entity/Q9695,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1761d16f-7b95-39e2-9bb4-3c963ded19f8,http://www.wikidata.org/entity/Q212549,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/178df1fd-913d-3667-9d79-e013be6de8c9,http://www.wikidata.org/entity/Q215333,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/17aeb925-598a-30c1-885f-4e60eced2743,http://www.wikidata.org/entity/Q571604,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/17c05873-a5e4-31f0-addb-0e9a92917cc6,http://www.wikidata.org/entity/Q694123,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/180755b4-2997-3fb4-8588-2ad68339ce6b,http://www.wikidata.org/entity/Q180278,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/181a0220-034a-3c5d-be98-c6e949cd3df6,http://www.wikidata.org/entity/Q427214,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/182eb912-5a5b-3082-9008-9d46d47548ca,http://www.wikidata.org/entity/Q80621,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/183b8f11-30db-3530-9edb-eb1bc5a04e51,http://www.wikidata.org/entity/Q450803,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1862bc72-ed83-3b74-98be-92064241aa4e,http://www.wikidata.org/entity/Q455307,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/18ad1198-8d06-3c53-b518-26bab08b9a72,http://www.wikidata.org/entity/Q661927,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/18c1e166-c8cc-3742-9f74-5e8c8fbdb55a,http://www.wikidata.org/entity/Q153008,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1918a65f-cd9a-3f57-a18e-269cbcefe222,http://www.wikidata.org/entity/Q927177,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1929320a-c4f9-36e5-890c-657126ebcdaf,http://www.wikidata.org/entity/Q1145,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1933ad65-6e8d-3e3f-9427-1ec89d313151,http://www.wikidata.org/entity/Q215570,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/195f1e57-b14e-330b-a375-50be08bce981,http://www.wikidata.org/entity/Q984548,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1a05703a-91fc-3ca6-b3eb-0133507cb368,http://www.wikidata.org/entity/Q153776,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1a118cda-9ce8-3b60-9e85-2211ab68165c,http://www.wikidata.org/entity/Q2460039,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1a18ac85-9c70-3cb1-94fb-c23628943c69,http://www.wikidata.org/entity/Q316427,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1a3c40ca-15f0-390e-a737-511edcd2f890,http://www.wikidata.org/entity/Q503005,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1a3dda47-79eb-3b7a-a510-a684b3ae6398,http://www.wikidata.org/entity/Q45095,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1abe6848-823c-304d-ae03-610abb592166,http://www.wikidata.org/entity/Q169341,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1ad5dfb7-31bd-397b-be49-e38c5a3652a0,http://www.wikidata.org/entity/Q1398016,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1aec424d-e3ba-3a7a-a49f-2bf62a0aeea9,http://www.wikidata.org/entity/Q1553197,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1b1205f9-b99a-3bb8-ba77-256689af2e00,http://www.wikidata.org/entity/Q1178,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1b20de75-2900-37e6-bc47-27ad468bde55,http://www.wikidata.org/entity/Q706498,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1b6c2060-0844-3992-bece-d8ff46e1482b,http://www.wikidata.org/entity/Q214147,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1b813d73-1340-3af4-80a2-a7b7d61971c2,http://www.wikidata.org/entity/Q1290210,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1bb9a6a9-55c5-3d13-bc70-65f5b825ad6d,http://www.wikidata.org/entity/Q311409,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1c7aea3d-26ed-356c-a264-20ff020c3293,http://www.wikidata.org/entity/Q11849978,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1cb4406b-a3e7-3d47-bc00-1e20c88bcfa2,http://www.wikidata.org/entity/Q168539,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1cbd93fc-b131-3e8c-93de-36e75af208e2,http://www.wikidata.org/entity/Q254110,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1ce421bb-7001-39c7-b96f-1b2d5614a384,http://www.wikidata.org/entity/Q96065,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1cf8426f-fc9c-3c8d-810b-46d11c0695ba,http://www.wikidata.org/entity/Q456983,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1d38dd94-17bf-3838-bbd5-16ab3f6f4d26,http://www.wikidata.org/entity/Q348875,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1d47ba62-734f-38bb-8f09-28cb30d709d3,http://www.wikidata.org/entity/Q337206,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1d5a4de8-4ce1-39a4-8da8-4821d47405ed,http://www.wikidata.org/entity/Q229613,1.0,1.0,1.0,3.0
