3cixty_uri,3cixty_label,dbpedia_label,dbpedia_uri,score
http://data.linkedevents.org/location/c19f553c-06cd-3dee-8626-fa4e801fc664,Acropolis,Acropolis,http://www.wikidata.org/entity/Q2823500,100.0
http://data.linkedevents.org/location/transit/Nice/stop/05786200-7110-395b-a2a1-43e450bf2ca6,Acropolis,Acropolis,http://www.wikidata.org/entity/Q2823500,100.0
http://data.linkedevents.org/location/c5e5c428-0342-330e-be99-351a9c1c936f,Avenue Jean Médecin,avenue Jean-Médecin,http://www.wikidata.org/entity/Q2873716,100.0
http://data.linkedevents.org/location/998bc434-34ac-4ccd-aaf1-6d627a5b832c,Avenue Jean médecin,avenue Jean-Médecin,http://www.wikidata.org/entity/Q2873716,100.0
http://data.linkedevents.org/location/1db0128e-60f3-32ef-8241-de334d241ad8,Avenue Jean-Médecin,avenue Jean-Médecin,http://www.wikidata.org/entity/Q2873716,100.0
http://data.linkedevents.org/location/fe4f6290-77c5-33e5-82eb-a6edf97067d6,Basilique Notre-Dame de Nice,basilique Notre-Dame de Nice,http://www.wikidata.org/entity/Q2886962,100.0
http://data.linkedevents.org/location/a540e533-b401-3a7b-9a03-5bb88d551d6a,Cantón de Villefranche-sur-Mer,canton de Villefranche-sur-Mer,http://www.wikidata.org/entity/Q94088,100.0
http://data.linkedevents.org/location/71bcbf51-8443-46e2-a8fe-74b2126005c7,Cap 3000,Cap 3000,http://www.wikidata.org/entity/Q2936988,100.0
http://data.linkedevents.org/location/07dd2e6f-3d38-3cc3-88be-d5cc26b4ea68,Cap de Nice,Cap de Nice,http://www.wikidata.org/entity/Q2937139,100.0
http://data.linkedevents.org/location/transit/Nice/stop/30e46bf4-14cb-34e5-9870-14c37436c5b9,Carabacel,Carabacel,http://www.wikidata.org/entity/Q2937760,100.0
http://data.linkedevents.org/location/ebddcc70-487e-3163-b882-32888777162d,Cascade de Gairaut,cascade de Gairaut,http://www.wikidata.org/entity/Q2940840,100.0
http://data.linkedevents.org/location/transit/Nice/stop/92849823-569d-38cb-b4ea-4d752014bc64,Cascade de Gairaut,cascade de Gairaut,http://www.wikidata.org/entity/Q2940840,100.0
