3cixty_uri,3cixty_label,dbpedia_label,dbpedia_uri,score,correct
http://data.linkedevents.org/location/93e52bec-e921-33cb-b6a1-6315b702ceb3,Gare de l'Ariane - La Trinité,gare de l'Ariane - La Trinité,http://www.wikidata.org/entity/Q15188509,100.00.00,y
http://data.linkedevents.org/location/20462387-04bd-3da2-b133-0a59ddb2f4ba,Halle des sports Charles-Ehrmann,Halle des sports Charles-Ehrmann,http://www.wikidata.org/entity/Q16303731,100.00.00,y
http://data.linkedevents.org/location/ea5a808a-6769-4813-8fc4-650aa0887aeb,Hotel Negresco,hôtel Negresco,http://www.wikidata.org/entity/Q743147,100.00.00,y
http://data.linkedevents.org/location/transit/Nice/stop/b4f04959-ff45-3469-8ef8-49967b1b1aa2,Lycée Masséna,lycée Masséna,http://www.wikidata.org/entity/Q3268838,100.00.00,y
http://data.linkedevents.org/location/19a7b596-f6eb-3161-88a5-b54fe7640876,Magnan,Magnan,http://www.wikidata.org/entity/Q3277062,100.00.00,y
http://data.linkedevents.org/location/3951c4aa-c112-3891-938e-1277e023228f,Magnan,Magnan,http://www.wikidata.org/entity/Q3277062,100.00.00,y
http://data.linkedevents.org/location/e4a459b4-83b7-3000-bfc4-bd2f97a6b812,Magnan,Magnan,http://www.wikidata.org/entity/Q3277062,100.00.00,y
http://data.linkedevents.org/location/transit/Nice/stop/16c1c30f-db7d-36d3-bb9c-e3494fbc52bc,Magnan,Magnan,http://www.wikidata.org/entity/Q3277062,100.00.00,y
http://data.linkedevents.org/location/b0c224d3-382c-393c-ac53-d17be052aaa0,Monastère de Cimiez,monastère de Cimiez,http://www.wikidata.org/entity/Q3320265,100.00.00,y
http://data.linkedevents.org/location/3186377d-ac1c-3a71-bf40-8c37002ba227,Mont Boron,mont Boron,http://www.wikidata.org/entity/Q3321705,100.00.00,y
http://data.linkedevents.org/location/ed3c7c5d-61d3-41dc-83d0-14a0cbf5da20,Monument aux morts de Rauba-Capeù,monument aux morts de Rauba-Capeù,http://www.wikidata.org/entity/Q3323294,100.00.00,y
http://data.linkedevents.org/location/274fc357-6730-4b4f-a779-d2d99845bca0,Musée International d’art Naif Anatole Jakovsky,musée international d'art naïf Anatole Jakovsky,http://www.wikidata.org/entity/Q3330613,100.00.00,y
http://data.linkedevents.org/location/413cb48a-2d39-43f9-949e-62b5d2e041aa,Musée Masséna,musée Masséna,http://www.wikidata.org/entity/Q3329270,100.00.00,y
http://data.linkedevents.org/location/1e71ebd3-d495-4c35-88ff-3f749b65263b,Musée Matisse,musée Matisse,http://www.wikidata.org/entity/Q1563354,100.00.00,y
http://data.linkedevents.org/location/947ec7be-9cc5-3466-9fcb-5263c51b8442,Musée National du Sport,musée national du Sport,http://www.wikidata.org/entity/Q3330734,100.00.00,y
http://data.linkedevents.org/location/676841f5-0f51-3fa7-9f5a-aed6ee41ba7a,Musée archéologique de Nice-Cimiez,musée archéologique de Nice-Cimiez,http://www.wikidata.org/entity/Q3329446,100.00.00,y
http://data.linkedevents.org/location/50fbac29-c16d-3f28-b022-b322ae1102c8,Nice,Nice,http://www.wikidata.org/entity/Q33959,100.00.00,y
http://data.linkedevents.org/location/dcadce63-5660-3fcb-b184-3044a2a40c33,Nice,Nice,http://www.wikidata.org/entity/Q33959,100.00.00,y
http://data.linkedevents.org/location/579aa423-cb1b-3d35-90d5-ef482aa093ad,Nice Lawn Tennis Club,Nice Lawn Tennis Club,http://www.wikidata.org/entity/Q691078,100.00.00,y
http://data.linkedevents.org/location/813fcaf9-4578-356c-bfb7-fac2c4049173,Nice Lingostière,Nice Lingostière,http://www.wikidata.org/entity/Q3339613,100.00.00,y
http://data.linkedevents.org/location/759f64c3-8b08-499c-89a2-81db3d2e3b76,Observatoire de Nice,observatoire de Nice,http://www.wikidata.org/entity/Q508362,100.00.00,y
http://data.linkedevents.org/location/37012dce-9584-49c9-af70-68dc192a9ef4,Opéra de Nice,opéra de Nice,http://www.wikidata.org/entity/Q608423,100.00.00,y
http://data.linkedevents.org/location/ce05490c-b7eb-3b0f-b8cd-d4439079684f,Opéra de Nice,opéra de Nice,http://www.wikidata.org/entity/Q608423,100.00.00,y
http://data.linkedevents.org/location/e4e2fecd-c7cd-3fad-b079-874a6d689041,Palais Baréty,palais Baréty,http://www.wikidata.org/entity/Q15952894,100.00.00,y
http://data.linkedevents.org/location/046a44c9-1cfd-3619-85d9-7d635cba35bf,Palais Hongran,palais Hongran,http://www.wikidata.org/entity/Q13518326,100.00.00,y
http://data.linkedevents.org/location/20a9c6d5-434c-4aa3-a0d6-9e40f090ed8f,Palais Lascaris,palais Lascaris,http://www.wikidata.org/entity/Q3360882,100.00.00,y
http://data.linkedevents.org/location/803dddd2-91ed-3328-84fa-1c87df8ec5e4,Palais Lascaris,palais Lascaris,http://www.wikidata.org/entity/Q3360882,100.00.00,y
http://data.linkedevents.org/location/0ea336b9-37cc-3bba-bec5-330e530ecf5d,Palais Meyerbeer,palais Meyerbeer,http://www.wikidata.org/entity/Q13518224,100.00.00,y
http://data.linkedevents.org/location/ff2228b7-e347-43c0-bb7d-501a0171636c,Palais Nikaia,palais Nikaia,http://www.wikidata.org/entity/Q1033364,100.00.00,y
http://data.linkedevents.org/location/731551f8-0ba6-3f97-b37f-a3f089e83509,Palais communal de Nice,palais communal de Nice,http://www.wikidata.org/entity/Q3360951,100.00.00,y
http://data.linkedevents.org/location/220c7ac5-f2bc-3212-bd5d-84460cf60226,Palais d'York,palais d'York,http://www.wikidata.org/entity/Q13516908,100.00.00,y
http://data.linkedevents.org/location/a09c5181-5cd4-3cda-b684-8d092f43fa45,Palais de l'agriculture,palais de l'agriculture,http://www.wikidata.org/entity/Q4277750,100.00.00,y
http://data.linkedevents.org/location/cf4083d7-f30a-48a7-bc07-15fa80c6a139,Palais des Sports Jean-Bouin,palais des sports Jean-Bouin,http://www.wikidata.org/entity/Q3361121,100.00.00,y
http://data.linkedevents.org/location/59d4e126-2497-32f3-acbb-e69bb72030c2,Parc d'estienne d'orves,parc d'Estienne-d'Orves,http://www.wikidata.org/entity/Q3363963,100.00.00,y
http://data.linkedevents.org/location/b82d3d3d-6037-4be8-a6be-532cd7287c32,Place Garibaldi,place Garibaldi,http://www.wikidata.org/entity/Q3389830,100.00.00,y
http://data.linkedevents.org/location/2e0e6f14-70cb-374f-aad8-bcea201bf94a,Place Masséna,place Masséna,http://www.wikidata.org/entity/Q3389982,100.00.00,y
http://data.linkedevents.org/location/50d99c53-c04a-4f1d-b869-92044f3e8e1b,Place masséna,place Masséna,http://www.wikidata.org/entity/Q3389982,100.00.00,y
http://data.linkedevents.org/location/30673145-4176-3eb3-9fb9-baab8af551b1,Port Lympia,port Lympia,http://www.wikidata.org/entity/Q3398372,100.00.00,y
http://data.linkedevents.org/location/81d857b7-9195-4cb0-a0ad-127b9924ee92,Promenade des Anglais,promenade des Anglais,http://www.wikidata.org/entity/Q1849491,100.00.00,y
http://data.linkedevents.org/location/7f98ad67-48a8-4527-ae60-7595adfe906c,Promenade du Paillon,Promenade du Paillon,http://www.wikidata.org/entity/Q16510514,100.00.00,y
