score,count,category
1.0,185,medium
1.1,4,medium
1.2,4,medium
1.3,0,medium
1.4,1,medium
1.5,4,medium
1.6,0,medium
1.7,5,medium
1.8,0,medium
2.0,613,medium_high
2.1,6,medium_high
2.2,0,medium_high
2.3,5,medium_high
2.5,9,medium_high
2.7,24,medium_high
3.0,1273,high
