,our_match,your_match,doremus_uri,score
1191,http://dbpedia.org/resource/François-Bernard_Mâche,http://dbpedia.org/resource/François,http://data.doremus.org/artist/d680280e-6dc6-369a-b48e-c26b989fe8f8,0.903
1171,"http://dbpedia.org/resource/Easley_Blackwood,_Jr.",http://dbpedia.org/resource/Easley_Blackwood,http://data.doremus.org/artist/02af27b5-a65d-3ca0-a88d-6341e2941ca1,0.8735
959,http://dbpedia.org/resource/Thomas-Louis_Bourgeois,http://dbpedia.org/resource/Thomas,http://data.doremus.org/artist/42d682ca-c1c9-305f-b220-c83af6037160,0.75
653,http://dbpedia.org/resource/Antonio_Balestra,http://dbpedia.org/resource/Antonio_Lotti,http://data.doremus.org/artist/7fa2af6f-c338-3f96-9c5b-63d2c6fa0a98,0.745556495015
402,http://dbpedia.org/resource/Henry_Holden,http://dbpedia.org/resource/Henry_Lawes,http://data.doremus.org/artist/65fd4a29-bc6e-3451-b4d9-f75559a52cd5,0.67269840722
2914,http://dbpedia.org/resource/Hubert_Giraud,http://dbpedia.org/resource/Hubert_Giraud_(composer),http://data.doremus.org/artist/6feb0b70-efd0-3ef7-b517-99399909d448,0.5
666,http://dbpedia.org/resource/Giovanni_Battista_Sammartini,http://dbpedia.org/resource/Giuseppe_Sammartini,http://data.doremus.org/artist/be35c1a5-4f15-3de7-92fc-47191a4c3774,0.5
575,http://dbpedia.org/resource/Arthur_Berger,http://dbpedia.org/resource/Arthur_Berger_(composer),http://data.doremus.org/artist/dc3fc358-7b47-3c5e-a617-ef7bcbb77aa9,0.5
565,http://dbpedia.org/resource/André-Joseph_Exaudet,http://dbpedia.org/resource/André,http://data.doremus.org/artist/8d124e11-2ce0-3bf9-9579-c8c7dd1eecb6,0.5
2398,http://dbpedia.org/resource/Hélène-Louise_Demars,http://dbpedia.org/resource/Helene,http://data.doremus.org/artist/9b6254d9-88c6-32df-b166-8a2175e64df7,0.5
146,http://dbpedia.org/resource/Nicolò_Corradini_(composer),http://dbpedia.org/resource/Nicolò_Corradini,http://data.doremus.org/artist/fd0fda76-6a91-3eaf-8117-9de5b4a16125,0.441
2245,http://dbpedia.org/resource/Philidor,http://dbpedia.org/resource/André_Danican_Philidor_the_elder,http://data.doremus.org/artist/2f60da1c-3a63-3b03-b8f3-ad29f5dd2aa6,0.4385
1564,http://dbpedia.org/resource/Henry_Butler,http://dbpedia.org/resource/Henry_Butler_(viol_player),http://data.doremus.org/artist/facd0522-3a82-3e79-93d3-b64c81722552,0.435973265534
910,http://dbpedia.org/resource/Juan_Navarro_Gaditanus,http://dbpedia.org/resource/Juan_Navarro_Hispalensis,http://data.doremus.org/artist/e895b8b5-00d0-3e35-8046-dd449f067412,0.4275
482,http://dbpedia.org/resource/Bernard_G._Gordon,http://dbpedia.org/resource/Bernard_Rose_(musician),http://data.doremus.org/artist/7af0090c-a3c2-3f1d-b8f1-05007ba13e60,0.42519840722
2181,http://dbpedia.org/resource/Alberto_Andressen,http://dbpedia.org/resource/Alberto_Hemsi,http://data.doremus.org/artist/5d982e2f-6d00-349a-b809-25ed08b87ea3,0.41969840722
592,http://dbpedia.org/resource/Eleanor_Bodel,http://dbpedia.org/resource/Jean_Bodel,http://data.doremus.org/artist/9b893445-833f-32e3-a24d-602c1ebe7b46,0.380973265534
915,http://dbpedia.org/resource/Juliette_Ashby,http://dbpedia.org/resource/Juliette_(French_singer),http://data.doremus.org/artist/6ee7e927-6ed7-3df6-aaee-61d3781ca9e3,0.368473265534
2184,http://dbpedia.org/resource/Andy_Scott_(musician),http://dbpedia.org/resource/Andy_Scott_(saxophonist_and_composer),http://data.doremus.org/artist/9678d188-988c-3e45-b194-429b3d35bff7,0.356473265534
2415,http://dbpedia.org/resource/Wes_Felton,http://dbpedia.org/resource/William_Felton_(composer),http://data.doremus.org/artist/64b00c3e-42c2-33b4-a4d0-e37b15a1399b,0.353473265534
371,http://dbpedia.org/resource/Robert_Pierre_(musician),http://dbpedia.org/resource/Pierre_Robert_(composer),http://data.doremus.org/artist/7fd42d82-a06b-3516-8ae0-359761d4604e,0.352973265534
2358,http://dbpedia.org/resource/The_Aldridge_Sisters,http://dbpedia.org/resource/Robert_Aldridge_(composer),http://data.doremus.org/artist/f212729f-f213-370d-b8a6-88c5449d7dba,0.352473265534
2328,http://dbpedia.org/resource/John_Browne_(artist),http://dbpedia.org/resource/John_Browne_(composer),http://data.doremus.org/artist/5530723a-ff96-320e-993b-954f8889625d,0.264056495015
1609,http://dbpedia.org/resource/Heinrich_von_Kleist,http://dbpedia.org/resource/Heinrich_von_Louffenburg,http://data.doremus.org/artist/7fd635ce-5a5f-36e4-9ebc-547669bb3696,0.252056495015
1003,http://dbpedia.org/resource/Niklaus_Weckmann,http://dbpedia.org/resource/Matthias_Weckmann,http://data.doremus.org/artist/89d5a38c-05e7-3d92-a26e-f4490bda88af,0.244056495015
538,http://dbpedia.org/resource/Robert_Demachy,http://dbpedia.org/resource/Le_Sieur_de_Machy,http://data.doremus.org/artist/777a40b6-cbf5-3c5f-9eac-59f9a613e436,0.244056495015
2141,http://dbpedia.org/resource/Michael_R._Gordon,http://dbpedia.org/resource/Michael_Gordon_(composer),http://data.doremus.org/artist/8140c7eb-13b5-3018-aea2-d2d4033e2382,0.23319840722
2582,http://dbpedia.org/resource/Robert_J._White,http://dbpedia.org/resource/Robert_White_(composer),http://data.doremus.org/artist/10ad5cdc-7d29-30b4-9699-0826bf8d9bd4,0.23069840722
584,http://dbpedia.org/resource/John_C._Mackey,http://dbpedia.org/resource/John_Mackey_(composer),http://data.doremus.org/artist/763774d0-d433-326a-b69e-3cbea2cd2ab4,0.23019840722
1631,http://dbpedia.org/resource/Johann_Campanus,http://dbpedia.org/resource/Johannes_Vodnianus_Campanus,http://data.doremus.org/artist/ebc2f484-6cfb-36d9-b828-9389de0a35f4,0.22469840722
1299,http://dbpedia.org/resource/Robert_Jones_(VC),http://dbpedia.org/resource/Robert_Jones_(composer),http://data.doremus.org/artist/19641af9-49fc-30d9-b806-122d5880e909,0.22169840722
943,http://dbpedia.org/resource/Christopher_Robinson_(priest),http://dbpedia.org/resource/Christopher_Robinson_(musician),http://data.doremus.org/artist/52be88c8-9a7d-3257-a22d-a2bd7ea31fe1,0.21319840722
1031,http://dbpedia.org/resource/John_Cameron_(farmer),http://dbpedia.org/resource/John_Cameron_(musician),http://data.doremus.org/artist/5c1aa62e-4d1f-34e4-a7dd-016a3589cfa0,0.207939522253
728,http://dbpedia.org/resource/Jorge_Antunes_(actor),http://dbpedia.org/resource/Jorge_Antunes_(composer),http://data.doremus.org/artist/44b41641-f769-31a5-bdb1-74e0b2ca88bf,0.20219840722
1971,http://dbpedia.org/resource/Rod_Shafer,http://dbpedia.org/resource/Robert_Shafer_(conductor),http://data.doremus.org/artist/439a2cda-7299-32a7-9737-14c42ee7ec49,0.19719840722
726,http://dbpedia.org/resource/Dan-Yi_Chen,http://dbpedia.org/resource/Chen_Yi_(composer),http://data.doremus.org/artist/1929d93d-9fe6-3331-b171-b439154652a7,0.19719840722
3171,http://dbpedia.org/resource/Éric_Lavaine,http://dbpedia.org/resource/Eric_Lévi,http://data.doremus.org/artist/d1d43c5c-ec51-3a18-a927-51a46ee4a921,0.19619840722
1186,http://dbpedia.org/resource/Maurício,http://dbpedia.org/resource/José_Maurício_(Portuguese_composer),http://data.doremus.org/artist/f9bb272c-487e-3316-911a-f223d672e19e,0.19619840722
2031,http://dbpedia.org/resource/Christopher_Hahn,http://dbpedia.org/resource/Christopher_Fox_(composer),http://data.doremus.org/artist/ae16fb88-1fc2-3d18-b332-8e843fa86111,0.19469840722
2133,http://dbpedia.org/resource/Bert_Nilsson,http://dbpedia.org/resource/Anders_Nilsson_(composer),http://data.doremus.org/artist/f40a43eb-6650-3a9f-9f99-49ae97abd3a8,0.19469840722
1412,http://dbpedia.org/resource/Duc_de_Châtillon,http://dbpedia.org/resource/Walter_of_Châtillon,http://data.doremus.org/artist/06606b2f-7a91-3272-9d1e-d40ca81ce691,0.19319840722
2633,http://dbpedia.org/resource/Andrew_McCord,http://dbpedia.org/resource/Andrew_York_(guitarist),http://data.doremus.org/artist/0dac8856-6b69-329f-b0c3-2a31c801028b,0.18969840722
1211,http://dbpedia.org/resource/Daniel_Roth_(writer),http://dbpedia.org/resource/Daniel_Roth_(organist),http://data.doremus.org/artist/7dbeb947-f1e3-33ff-89d9-0bd79d23063f,0.18969840722
137,http://dbpedia.org/resource/James_Dillon_(officer),http://dbpedia.org/resource/James_Dillon_(composer),http://data.doremus.org/artist/0b9ff34c-e6ba-3aa6-825f-8c0599574665,0.18769840722
1698,http://dbpedia.org/resource/Marco_Aurelio_Dias_Ferreira,http://dbpedia.org/resource/Marco_Aurelio_Zani_de_Ferranti,http://data.doremus.org/artist/6ea080c0-a335-35d5-b933-038c986a4d6e,0.18719840722
2545,http://dbpedia.org/resource/Gérard_Lhéritier,http://dbpedia.org/resource/Jean_l'Héritier,http://data.doremus.org/artist/d2c37ba4-e007-3eb8-a3bf-9e6249cd0f54,0.18669840722
1544,http://dbpedia.org/resource/Philip_Martin_(director),http://dbpedia.org/resource/Philip_Martin_(pianist),http://data.doremus.org/artist/962fc7b6-d6ec-372e-a6e8-37b0ad0d1382,0.18519840722
2776,http://dbpedia.org/resource/Charles_Boone_(governor),http://dbpedia.org/resource/Charles_Boone_(composer),http://data.doremus.org/artist/b339e489-75c3-35e9-a516-d514556b1b4a,0.18519840722
2921,http://dbpedia.org/resource/Robert_Johnson_(historian),http://dbpedia.org/resource/Robert_Johnson_(English_composer),http://data.doremus.org/artist/e028546c-9e75-343d-92ff-e927992ecd77,0.18519840722
1964,http://dbpedia.org/resource/Antonio_Sanseverino,http://dbpedia.org/resource/Stéphane_Sanseverino,http://data.doremus.org/artist/f6e311bd-d6b3-342a-8a55-054aa67d7808,0.18469840722
348,http://dbpedia.org/resource/Federigo_Fregoso,http://dbpedia.org/resource/Federigo_Fiorillo,http://data.doremus.org/artist/8b57fb88-dbb3-3ca8-bcb6-d05d2d966177,0.18469840722
1606,http://dbpedia.org/resource/Jéhan_Le_Roy,http://dbpedia.org/resource/Adrian_Le_Roy,http://data.doremus.org/artist/b65c372d-bce4-378a-a571-a05d59326329,0.18419840722
1706,http://dbpedia.org/resource/Peter_Dickinson_(journalist),http://dbpedia.org/resource/Peter_Dickinson_(musician),http://data.doremus.org/artist/70c9c7f0-e86e-3e7c-b47e-dbe0c521eb1d,0.18319840722
2482,http://dbpedia.org/resource/Mateo_Antonio_de_Mendoza,http://dbpedia.org/resource/Mateo_Albéniz,http://data.doremus.org/artist/57916eb0-629e-3b1c-9565-e37f515c8803,0.18169840722
3272,http://dbpedia.org/resource/George_Walker_(privateer),http://dbpedia.org/resource/George_Walker_(composer),http://data.doremus.org/artist/026699da-8e9d-3e0a-b5c4-0456e7409a2b,0.18019840722
1966,http://dbpedia.org/resource/Gerald_M._Steinberg,http://dbpedia.org/resource/Gerald_Shapiro_(composer),http://data.doremus.org/artist/ec33439d-5107-3a98-ae33-dc299fdabc7c,0.18019840722
2825,http://dbpedia.org/resource/Phil_Gallagher,http://dbpedia.org/resource/Jack_Gallagher_(composer),http://data.doremus.org/artist/d21bce57-d6fa-30f2-8ec8-3ceec6a196fd,0.17969840722
1330,http://dbpedia.org/resource/Michel_Jeanjean,http://dbpedia.org/resource/Paul_Jeanjean,http://data.doremus.org/artist/b8124292-7189-3e45-b2ba-b6ccef881b09,0.17969840722
2575,http://dbpedia.org/resource/Gilles_Tanguy,http://dbpedia.org/resource/Gilles_Tremblay_(composer),http://data.doremus.org/artist/64b3e6dc-63e2-3363-b269-7f4330a4deb5,0.17969840722
5,http://dbpedia.org/resource/Peter_Cellensis,http://dbpedia.org/resource/Peter_of_Blois,http://data.doremus.org/artist/f1f68956-7ff0-3b37-b90f-ccdc4cc9fc3d,0.17969840722
2588,http://dbpedia.org/resource/José_Miguel_Marín,http://dbpedia.org/resource/José_Marín_(composer),http://data.doremus.org/artist/4f597327-3631-313b-bb92-3e4053b4b29c,0.17919840722
1550,http://dbpedia.org/resource/Frankie_J._Alvarez,http://dbpedia.org/resource/Javier_Álvarez_(composer),http://data.doremus.org/artist/e3822339-bbff-3bb8-948b-a6b73b62867e,0.17869840722
84,http://dbpedia.org/resource/Jack_Rabinovitch,http://dbpedia.org/resource/Alexandre_Rabinovitch-Barakovsky,http://data.doremus.org/artist/f15b7778-40a7-3be8-9b47-361e5a710f90,0.17719840722
178,http://dbpedia.org/resource/Frank_Reys,http://dbpedia.org/resource/Jakub_Polak_(musician),http://data.doremus.org/artist/40eaa168-37e3-3ddf-ae1b-9edf4e67595b,0.17719840722
380,http://dbpedia.org/resource/Alexander_of_Aphrodisias,http://dbpedia.org/resource/Alex_Prior,http://data.doremus.org/artist/703bab66-5a9d-3c76-a417-1c68a7f14fc1,0.17719840722
2428,http://dbpedia.org/resource/Wim_van_der_Veen,http://dbpedia.org/resource/Jeroen_van_Veen_(pianist),http://data.doremus.org/artist/d97be976-7c83-30e9-8d70-dbc717013088,0.17319840722
2813,http://dbpedia.org/resource/James_Clarke_(footballer),http://dbpedia.org/resource/James_Clarke_(composer),http://data.doremus.org/artist/6c639f97-4360-3a82-a104-c5d940912538,0.17269840722
2992,http://dbpedia.org/resource/Wang_Zhong_(Han_dynasty),http://dbpedia.org/resource/Wang_Jianzhong,http://data.doremus.org/artist/319c1ac4-ba5f-312d-9b8a-888e8fb97674,0.17019840722
445,http://dbpedia.org/resource/Piero_Alva,http://dbpedia.org/resource/Maestro_Piero,http://data.doremus.org/artist/0478f732-af2e-3c4e-981a-0f2bb2edcb87,0.16969840722
1464,http://dbpedia.org/resource/Jean_Molino,http://dbpedia.org/resource/Francesco_Molino,http://data.doremus.org/artist/2ff3ac0d-e393-3a3c-a6bf-682a569a7756,0.16969840722
2468,http://dbpedia.org/resource/Tom_Johnson_(journalist),http://dbpedia.org/resource/Tom_Johnson_(composer),http://data.doremus.org/artist/b7f94717-8fbd-354b-be36-9b3fc9e99ae1,0.16769840722
179,http://dbpedia.org/resource/Théophile_Gautier,http://dbpedia.org/resource/Gautier_d'Espinal,http://data.doremus.org/artist/0442b1de-a5da-37e5-85ea-a3b8d28baa1a,0.16519840722
2615,http://dbpedia.org/resource/Mathias_van_den_Gheyn,http://dbpedia.org/resource/Matthias_van_den_Gheyn,http://data.doremus.org/artist/8439f358-896d-36b7-a7a6-3d1ac53b037c,0.04249999999999998
709,http://dbpedia.org/resource/Leo_Weiner,http://dbpedia.org/resource/Leó_Weiner,http://data.doremus.org/artist/b3598c99-0035-31d0-9584-1eb3ad6247b3,0.034999999999999976
2183,http://dbpedia.org/resource/Vladimir_Ivanovich_Larin,http://dbpedia.org/resource/Vladimir_Martynov,http://data.doremus.org/artist/77c26524-703c-39f6-a21a-00681821232c,0.024999999999999994
1494,http://dbpedia.org/resource/USS_John_Adams,http://dbpedia.org/resource/John_Adams_(composer),http://data.doremus.org/artist/134fcbf2-47d5-3b77-8586-97c9dbbb6738,0.007499999999999979
1516,http://dbpedia.org/resource/Sandström,http://dbpedia.org/resource/Jan_Sandström_(composer),http://data.doremus.org/artist/8711c3c7-ee7f-3e4a-868b-14d1e7bdf561,0.0009999999999999731
