our_match,your_match,doremus_uri,score
http://dbpedia.org/resource/Étienne-Joseph_Floquet,http://dbpedia.org/resource/Étienne,http://data.doremus.org/artist/7c4fd9ed-7a5d-39c7-ab4a-d55dede2fe4c,0.995
http://dbpedia.org/resource/Lars-Erik_Larsson,http://dbpedia.org/resource/Lars,http://data.doremus.org/artist/9003abb1-f722-3891-a40b-e5f8fad9ca92,0.994
"http://dbpedia.org/resource/Joseph_Hellmesberger,_Jr.",http://dbpedia.org/resource/Joseph_Hellmesberger,http://data.doremus.org/artist/48c609d5-2de6-3e75-bee7-19e536e4f41e,0.9785
http://dbpedia.org/resource/Jan_Müller-Wieland,http://dbpedia.org/resource/Jan_Müller,http://data.doremus.org/artist/caa50d7a-63a5-3cc1-8350-2a11b336a9cd,0.97275
http://dbpedia.org/resource/Marc-André_Dalbavie,http://dbpedia.org/resource/Marc,http://data.doremus.org/artist/da55376e-0379-3efe-bae3-bae175a593f5,0.9615
http://dbpedia.org/resource/Mark-Anthony_Turnage,http://dbpedia.org/resource/Mark,http://data.doremus.org/artist/6be5c3f6-d661-35d5-8b74-029d65729830,0.95925
http://dbpedia.org/resource/Amélie-Julie_Candeille,http://dbpedia.org/resource/Amélie,http://data.doremus.org/artist/b3e62e6c-a13d-398e-8780-0b7b42cd006b,0.9555
http://dbpedia.org/resource/Pierre-Joseph_Candeille,http://dbpedia.org/resource/Pierre,http://data.doremus.org/artist/01df551b-a942-3c0e-b363-0d477f91c356,0.955
http://dbpedia.org/resource/Esa-Pekka_Salonen,http://dbpedia.org/resource/European_Space_Agency,http://data.doremus.org/artist/6e0fdbca-c46b-3085-a40b-759bd67e5bf2,0.95475
http://dbpedia.org/resource/Jacques-Nicolas_Lemmens,http://dbpedia.org/resource/Jacques,http://data.doremus.org/artist/285e8ec7-5ec3-3206-9221-a95df3b95d1a,0.95
http://dbpedia.org/resource/Charles-Alexandre_Fessy,http://dbpedia.org/resource/Charles,http://data.doremus.org/artist/1ebeb7c7-d71b-3881-9a1c-6a7cc8c4e339,0.9475
http://dbpedia.org/resource/Joël-François_Durand,http://dbpedia.org/resource/Joel_(given_name),http://data.doremus.org/artist/9a648d62-7160-3632-ab62-d33d2f3b3855,0.94575
"http://dbpedia.org/resource/Nikolay_Kedrov,_Sr.",http://dbpedia.org/resource/Nikolay_Kedrov,http://data.doremus.org/artist/902da3f3-8714-3619-8586-42406cfd052b,0.9365
http://dbpedia.org/resource/Robert_Simpson_(composer),http://dbpedia.org/resource/Robert_Simpson_(UK_politician),http://data.doremus.org/artist/b98e73ce-6a39-3f2a-980a-c66165165bda,0.936
http://dbpedia.org/resource/Claude-Michel_Schönberg,http://dbpedia.org/resource/Claude,http://data.doremus.org/artist/505732e5-c3c0-30a4-bed2-44c52abb7c8a,0.92325
http://dbpedia.org/resource/Sven-David_Sandström,http://dbpedia.org/resource/Sven,http://data.doremus.org/artist/c540d899-3bdc-393d-b508-19f464f9b507,0.91875
"http://dbpedia.org/resource/Paul_I,_Prince_Esterházy",http://dbpedia.org/resource/Paul_I,http://data.doremus.org/artist/14494309-66c8-3f85-99ce-c68e3d2d5f0a,0.9155
http://dbpedia.org/resource/Jean-Claude_Amiot,http://dbpedia.org/resource/Jean,http://data.doremus.org/artist/00d0b268-9a76-3f5c-91d1-20706baf3226,0.912
http://dbpedia.org/resource/François-Bernard_Mâche,http://dbpedia.org/resource/François,http://data.doremus.org/artist/d680280e-6dc6-369a-b48e-c26b989fe8f8,0.903
"http://dbpedia.org/resource/Easley_Blackwood,_Jr.",http://dbpedia.org/resource/Easley_Blackwood,http://data.doremus.org/artist/02af27b5-a65d-3ca0-a88d-6341e2941ca1,0.871
http://dbpedia.org/resource/Charles-Louis_Mion,http://dbpedia.org/resource/Charles,http://data.doremus.org/artist/81a07aa4-4481-3da1-82ba-51252965805a,0.825
http://dbpedia.org/resource/Antoine-Laurent_Baudron,http://dbpedia.org/resource/Antoine,http://data.doremus.org/artist/c2e1eb7c-e9fc-3eb2-8cad-9331450e00d4,0.825
http://dbpedia.org/resource/Jacques-Martin_Hotteterre,http://dbpedia.org/resource/Jacques,http://data.doremus.org/artist/43491fde-cf67-3f20-89f6-63fce04a773b,0.785
http://dbpedia.org/resource/Thomas-Louis_Bourgeois,http://dbpedia.org/resource/Thomas,http://data.doremus.org/artist/42d682ca-c1c9-305f-b220-c83af6037160,0.75
http://dbpedia.org/resource/Lucienne_Boyer,http://dbpedia.org/resource/Jean_Boyer_(director),http://data.doremus.org/artist/7ad00b03-f66e-3ee4-93ed-0e882aff736b,0.678473265534
http://dbpedia.org/resource/Johann_Christoph_Wagenseil,http://dbpedia.org/resource/Johann_Vogel_(composer),http://data.doremus.org/artist/9d05c521-b042-3a29-b830-4581097ece39,0.6075
http://dbpedia.org/resource/Josef_Antonín_Plánický,http://dbpedia.org/resource/Joseph_Anton_Steffan,http://data.doremus.org/artist/0e526ad3-4d6b-3051-bd8c-9739b3ec1fe2,0.5975
http://dbpedia.org/resource/August_Duranowski,http://dbpedia.org/resource/Auguste_Durand,http://data.doremus.org/artist/2bd83e0b-2884-35b4-ab96-36aff7f051db,0.5925
http://dbpedia.org/resource/Hildegarde,http://dbpedia.org/resource/Hildegard_of_Bingen,http://data.doremus.org/artist/74f93e74-c62c-3662-84fb-4d73f3e62d36,0.585973265534
http://dbpedia.org/resource/John_Hilton_the_elder,http://dbpedia.org/resource/John_Hilton_the_younger,http://data.doremus.org/artist/ed11e426-66ea-3718-8229-c25da913df13,0.5725
http://dbpedia.org/resource/Michael_Z._Gordon,http://dbpedia.org/resource/Michael_Gordon_(composer),http://data.doremus.org/artist/8140c7eb-13b5-3018-aea2-d2d4033e2382,0.5545
http://dbpedia.org/resource/Dave_Matthews,http://dbpedia.org/resource/David_Matthews_(composer),http://data.doremus.org/artist/47e733e7-23de-3427-9701-037eff4920f5,0.5475
